Provincias;Españoles/Extranjeros;Sexo;Edad (grupos quinquenales);Año;Total
11  Cádiz;TOTAL;Ambos sexos;100 años y más;2019;245
39  Cantabria;TOTAL;Ambos sexos;70-74 años;2019;29.593
39  Cantabria;TOTAL;Ambos sexos;75-79 años;2019;20.581
39  Cantabria;TOTAL;Ambos sexos;80-84 años;2019;18.737
39  Cantabria;TOTAL;Ambos sexos;85-89 años;2019;14.607
39  Cantabria;TOTAL;Ambos sexos;90-94 años;2019;6.597
39  Cantabria;TOTAL;Ambos sexos;95-99 años;2019;1.679
39  Cantabria;TOTAL;Ambos sexos;100 años y más;2019;269
12  Castellón/Castelló;TOTAL;Ambos sexos;70-74 años;2019;26.920
12  Castellón/Castelló;TOTAL;Ambos sexos;75-79 años;2019;20.241
12  Castellón/Castelló;TOTAL;Ambos sexos;80-84 años;2019;16.457
12  Castellón/Castelló;TOTAL;Ambos sexos;85-89 años;2019;11.700
12  Castellón/Castelló;TOTAL;Ambos sexos;90-94 años;2019;4.848
12  Castellón/Castelló;TOTAL;Ambos sexos;95-99 años;2019;1.117
12  Castellón/Castelló;TOTAL;Ambos sexos;100 años y más;2019;157
13  Ciudad Real;TOTAL;Ambos sexos;70-74 años;2019;22.251
13  Ciudad Real;TOTAL;Ambos sexos;75-79 años;2019;17.629
13  Ciudad Real;TOTAL;Ambos sexos;80-84 años;2019;16.537
13  Ciudad Real;TOTAL;Ambos sexos;85-89 años;2019;12.598
13  Ciudad Real;TOTAL;Ambos sexos;90-94 años;2019;5.239
13  Ciudad Real;TOTAL;Ambos sexos;95-99 años;2019;1.206
13  Ciudad Real;TOTAL;Ambos sexos;100 años y más;2019;160
14  Córdoba;TOTAL;Ambos sexos;70-74 años;2019;34.817
14  Córdoba;TOTAL;Ambos sexos;75-79 años;2019;27.610
14  Córdoba;TOTAL;Ambos sexos;80-84 años;2019;23.701
14  Córdoba;TOTAL;Ambos sexos;85-89 años;2019;17.559
14  Córdoba;TOTAL;Ambos sexos;90-94 años;2019;7.242
14  Córdoba;TOTAL;Ambos sexos;95-99 años;2019;1.668
14  Córdoba;TOTAL;Ambos sexos;100 años y más;2019;241
15  Coruña, A;TOTAL;Ambos sexos;70-74 años;2019;65.335
15  Coruña, A;TOTAL;Ambos sexos;75-79 años;2019;49.757
15  Coruña, A;TOTAL;Ambos sexos;80-84 años;2019;43.918
15  Coruña, A;TOTAL;Ambos sexos;85-89 años;2019;31.473
15  Coruña, A;TOTAL;Ambos sexos;90-94 años;2019;13.010
15  Coruña, A;TOTAL;Ambos sexos;95-99 años;2019;3.299
15  Coruña, A;TOTAL;Ambos sexos;100 años y más;2019;517
16  Cuenca;TOTAL;Ambos sexos;70-74 años;2019;9.024
16  Cuenca;TOTAL;Ambos sexos;75-79 años;2019;8.357
16  Cuenca;TOTAL;Ambos sexos;80-84 años;2019;8.301
16  Cuenca;TOTAL;Ambos sexos;85-89 años;2019;6.575
16  Cuenca;TOTAL;Ambos sexos;90-94 años;2019;2.856
16  Cuenca;TOTAL;Ambos sexos;95-99 años;2019;678
16  Cuenca;TOTAL;Ambos sexos;100 años y más;2019;92
20  Gipuzkoa;TOTAL;Ambos sexos;70-74 años;2019;39.676
20  Gipuzkoa;TOTAL;Ambos sexos;75-79 años;2019;28.139
20  Gipuzkoa;TOTAL;Ambos sexos;80-84 años;2019;23.763
20  Gipuzkoa;TOTAL;Ambos sexos;85-89 años;2019;17.338
20  Gipuzkoa;TOTAL;Ambos sexos;90-94 años;2019;7.572
20  Gipuzkoa;TOTAL;Ambos sexos;95-99 años;2019;1.816
20  Gipuzkoa;TOTAL;Ambos sexos;100 años y más;2019;250
17  Girona;TOTAL;Ambos sexos;70-74 años;2019;33.250
17  Girona;TOTAL;Ambos sexos;75-79 años;2019;23.334
17  Girona;TOTAL;Ambos sexos;80-84 años;2019;19.681
17  Girona;TOTAL;Ambos sexos;85-89 años;2019;14.672
17  Girona;TOTAL;Ambos sexos;90-94 años;2019;6.495
17  Girona;TOTAL;Ambos sexos;95-99 años;2019;1.593
17  Girona;TOTAL;Ambos sexos;100 años y más;2019;244
18  Granada;TOTAL;Ambos sexos;70-74 años;2019;39.200
18  Granada;TOTAL;Ambos sexos;75-79 años;2019;30.058
18  Granada;TOTAL;Ambos sexos;80-84 años;2019;25.231
18  Granada;TOTAL;Ambos sexos;85-89 años;2019;17.488
18  Granada;TOTAL;Ambos sexos;90-94 años;2019;6.487
18  Granada;TOTAL;Ambos sexos;95-99 años;2019;1.380
18  Granada;TOTAL;Ambos sexos;100 años y más;2019;256
19  Guadalajara;TOTAL;Ambos sexos;70-74 años;2019;8.956
19  Guadalajara;TOTAL;Ambos sexos;75-79 años;2019;6.558
19  Guadalajara;TOTAL;Ambos sexos;80-84 años;2019;6.219
19  Guadalajara;TOTAL;Ambos sexos;85-89 años;2019;5.280
19  Guadalajara;TOTAL;Ambos sexos;90-94 años;2019;2.770
19  Guadalajara;TOTAL;Ambos sexos;95-99 años;2019;762
19  Guadalajara;TOTAL;Ambos sexos;100 años y más;2019;112
21  Huelva;TOTAL;Ambos sexos;70-74 años;2019;21.991
21  Huelva;TOTAL;Ambos sexos;75-79 años;2019;16.217
21  Huelva;TOTAL;Ambos sexos;80-84 años;2019;12.309
21  Huelva;TOTAL;Ambos sexos;85-89 años;2019;8.521
21  Huelva;TOTAL;Ambos sexos;90-94 años;2019;2.973
21  Huelva;TOTAL;Ambos sexos;95-99 años;2019;678
21  Huelva;TOTAL;Ambos sexos;100 años y más;2019;144
22  Huesca;TOTAL;Ambos sexos;70-74 años;2019;10.767
